ZCTA,Households100to149K,Households150to199K,Households200KorMore,RFM1,RFM2,RFM3
95361,2128,1275,1158,9,9,9
95376,3249,1549,1365,9,9,9
95377,2446,1270,1183,9,9,9
95382,2455,1171,945,9,9,9
95401,2316,1219,1102,9,9,9
95403,3133,1675,1130,9,9,9
95404,2907,1803,1876,9,9,9
95407,1996,950,337,9,9,8
95409,2306,949,1685,9,9,9
95472,2533,1425,1785,9,9,9
95476,2694,1486,2064,9,9,9
95492,2355,1435,1419,9,9,9
95603,2020,1086,953,9,9,9
95608,3678,1967,2302,9,9,9
95610,2940,1109,668,9,9,8
95616,2051,1572,2138,9,9,9
95621,2606,667,510,9,8,8
95624,4533,2403,2291,9,9,9
95628,2841,1578,2278,9,9,9
95630,5788,4506,5396,9,9,9
95632,2302,932,650,9,9,8
95648,4276,2043,2097,9,9,9
95661,2324,1201,1675,9,9,9
95662,2584,1164,749,9,9,8
95667,2681,1114,1159,9,9,9
95670,3490,1410,1339,9,9,9
95677,1994,845,1131,9,9,9
95678,3006,1375,1252,9,9,9
95682,2356,1272,1261,9,9,9
95687,4982,2374,1995,9,9,9
95688,2712,1764,1766,9,9,9
95691,2531,1425,1224,9,9,9
95695,2016,954,1077,9,9,9
95747,5108,3695,3573,9,9,9
95757,3429,2229,2009,9,9,9
95758,4784,2579,1512,9,9,9
95762,2963,2238,4608,9,9,9
95765,3075,1932,2044,9,9,9
95818,1865,985,1508,9,9,9
95822,2245,1068,670,9,9,8
95823,2870,587,552,9,8,8
95826,2585,1061,630,9,9,8
95828,2429,712,482,9,8,8
95829,2199,930,760,9,9,8
95831,3255,2062,1855,9,9,9
95833,2324,903,830,9,9,9
95834,2245,806,431,9,8,8
95835,3566,1889,1696,9,9,9
95843,3129,1223,654,9,9,8
95864,1847,997,2102,9,9,9
95901,1809,471,313,9,8,7
95928,1901,1007,1107,9,9,9
95973,2458,974,1214,9,9,9
95991,1904,703,433,9,8,8
95993,2357,912,845,9,9,9
96001,1906,855,817,9,9,8
96002,1802,679,591,9,8,8
96003,2406,1027,844,9,9,9
80003,2536,1013,561,9,9,8
80004,3109,1303,1127,9,9,9
80005,2622,1776,1582,9,9,9
80011,2051,474,320,9,8,8
80012,2384,725,451,9,8,8
80013,5832,2189,1150,9,9,9
80014,2395,709,720,9,8,8
80015,6198,3036,2334,9,9,9
80016,4360,2947,4475,9,9,9
80017,2352,605,232,9,8,7
80020,4580,2472,2229,9,9,9
80021,3052,1390,1026,9,9,9
80022,3047,1048,698,9,9,8
80026,2085,1293,1746,9,9,9
80027,2583,1903,2656,9,9,9
80031,2749,1496,1144,9,9,9
80104,2773,1419,1554,9,9,9
80109,1953,1543,1323,9,9,9
80111,2545,1478,3126,9,9,9
80112,2938,1550,2108,9,9,9
80120,2527,1120,1271,9,9,9
80122,3066,1536,1884,9,9,9
80123,3757,1899,2362,9,9,9
80124,2064,1267,1605,9,9,9
80126,3629,2675,3544,9,9,9
80127,3919,2847,2969,9,9,9
80128,3369,1724,1414,9,9,9
80129,3082,1944,2144,9,9,9
80130,2454,1827,2102,9,9,9
80134,5902,3762,4680,9,9,9
80138,2684,2313,1931,9,9,9
80202,1858,892,1675,9,9,9
80203,1957,842,619,9,9,8
80205,2759,1566,1256,9,9,9
80206,2231,1062,2332,9,9,9
80209,2187,1605,2647,9,9,9
80210,2373,1775,3391,9,9,9
80211,2985,2071,2283,9,9,9
80219,2320,750,511,9,8,8
80220,2701,1348,2531,9,9,9
80221,1931,818,457,9,9,8
80222,2162,785,720,9,8,8
80226,2398,1012,579,9,9,8
80227,2652,1206,948,9,9,9
80228,2815,1459,1517,9,9,9
80229,3129,596,401,9,8,8
80231,2218,840,925,9,9,9
80232,1939,523,428,9,8,8
80233,3569,1145,441,9,9,8
80237,2051,875,1010,9,9,9
80239,2273,662,194,9,8,7
80241,2997,1220,812,9,9,8
80247,1834,457,344,9,8,8
80249,2350,647,332,9,8,8
80301,2005,1234,1745,9,9,9
80304,1934,1161,2431,9,9,9
80401,2893,1920,2793,9,9,9
80439,2423,1220,2139,9,9,9
80501,2560,947,614,9,9,8
80503,2678,1553,2462,9,9,9
80504,4763,2578,1888,9,9,9
80516,2687,1740,1653,9,9,9
80521,1800,718,579,9,8,8
80524,2312,917,1192,9,9,9
80525,3603,2544,1870,9,9,9
80526,3083,1482,1226,9,9,9
80534,1817,774,613,9,8,8
80537,3504,1303,1004,9,9,9
80538,3878,1228,906,9,9,9
80550,2625,1374,1168,9,9,9
80601,2835,1005,740,9,9,8
80602,3247,2261,1713,9,9,9
80631,1824,472,414,9,8,8
80634,4463,1545,1092,9,9,9
80817,1874,389,256,9,8,7
80831,2278,898,784,9,9,8
80906,1973,1287,1956,9,9,9
80909,2088,388,233,9,8,7
80911,1902,670,260,9,8,7
80918,3092,1431,985,9,9,9
80919,2606,1299,1373,9,9,9
80920,3260,1619,1654,9,9,9
80921,2201,1484,1574,9,9,9
80922,2892,802,577,9,8,8
80923,2592,1183,525,9,9,8
81007,2289,743,326,9,8,8
81301,1975,953,1249,9,9,9
6010,4328,2006,1161,9,9,9
6033,2524,1386,2611,9,9,9
6040,2499,975,978,9,9,9
6042,1929,639,522,9,8,8
6066,2162,1001,569,9,9,8
6067,1843,669,980,9,8,9
6074,2267,1422,1618,9,9,9
6082,3324,1589,1105,9,9,9
6095,2526,1340,966,9,9,9
6109,2331,1145,1182,9,9,9
6111,2567,1358,744,9,9,8
6118,1925,786,345,9,8,8
6360,2254,681,717,9,8,8
6405,2037,1213,1357,9,9,9
6410,2128,1464,2336,9,9,9
